site_id,entity_id,ee_internal_id,acquisition_date,map_projection,projection_zone,datum,resolution,units,number_of_bands,sensor_type
US-Wkg,M_3110917_NW_12_1_20150621,2033541,2015-06-21,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110917_NE_12_1_20150621,2033540,2015-06-21,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110909_SW_12_1_20150621,2033688,2015-06-21,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110909_SE_12_1_20150621,2033687,2015-06-21,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110917_NW_12_1_20130608,1549423,2013-06-08,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110917_NE_12_1_20130608,1549422,2013-06-08,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110909_SW_12_1_20130608,1549385,2013-06-08,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110909_SE_12_1_20130608,1549384,2013-06-08,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110917_NW_12_1_20100604,278379,2010-06-04,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110917_NE_12_1_20100604,278380,2010-06-04,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110909_SW_12_1_20100604,278409,2010-06-04,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110909_SE_12_1_20100604,278410,2010-06-04,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110917_NW_12_1_20070625,1103118,2007-06-25,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110917_NE_12_1_20070625,1103117,2007-06-25,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110909_SW_12_1_20070625,1103078,2007-06-25,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110909_SE_12_1_20070625,1103077,2007-06-25,UTM,12N,NAD83,1.00,METER,4,CNIR
