row,col,x,y,year,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,NumCycles,QA
51,332,416836.5,3814519.5,2022,148.0,212.0,230.0,238.0,248.0,266.0,298.0,1.0,1.0
44,379,416977.5,3814540.5,2022,142.0,204.0,229.0,238.0,249.0,268.0,298.0,1.0,1.0
57,407,417061.5,3814501.5,2022,150.0,208.0,228.0,237.0,247.0,265.0,294.0,1.0,1.0
40,448,417184.5,3814552.5,2022,150.0,208.0,228.0,237.0,247.0,265.0,292.0,1.0,1.0
45,468,417244.5,3814537.5,2022,160.0,211.0,229.0,238.0,247.0,266.0,296.0,1.0,1.0
47,489,417307.5,3814531.5,2022,153.0,211.0,229.0,238.0,247.0,264.0,289.0,1.0,1.0
55,525,417415.5,3814507.5,2022,156.0,210.0,229.0,238.0,247.0,264.0,288.0,1.0,1.0
38,555,417505.5,3814558.5,2022,158.0,209.0,228.0,237.0,246.0,264.0,288.0,1.0,1.0
51,594,417622.5,3814519.5,2022,143.0,209.0,230.0,240.0,251.0,274.0,302.0,1.0,1.0
53,617,417691.5,3814513.5,2022,130.0,203.0,232.0,242.0,253.0,276.0,312.0,1.0,1.0
46,651,417793.5,3814534.5,2022,160.0,215.0,232.0,241.0,252.0,272.0,298.0,1.0,1.0
54,662,417826.5,3814510.5,2022,155.0,209.0,231.0,241.0,253.0,276.0,308.0,1.0,1.0
54,704,417952.5,3814510.5,2022,165.0,215.0,232.0,240.0,250.0,269.0,294.0,1.0,1.0
37,732,418036.5,3814561.5,2022,164.0,217.0,232.0,241.0,251.0,271.0,306.0,1.0,1.0
34,773,418159.5,3814570.5,2022,129.0,214.0,234.0,245.0,257.0,279.0,316.0,1.0,1.0
39,797,418231.5,3814555.5,2022,139.0,208.0,232.0,243.0,254.0,275.0,313.0,1.0,1.0
37,833,418339.5,3814561.5,2022,150.0,211.0,233.0,243.0,253.0,274.0,312.0,1.0,2.0
59,848,418384.5,3814495.5,2022,132.0,206.0,232.0,242.0,253.0,277.0,325.0,1.0,1.0
39,870,418450.5,3814555.5,2022,132.0,208.0,232.0,242.0,254.0,277.0,315.0,1.0,2.0
56,921,418603.5,3814504.5,2022,143.0,213.0,232.0,242.0,253.0,274.0,305.0,1.0,1.0
40,959,418717.5,3814552.5,2022,151.0,213.0,233.0,242.0,253.0,273.0,311.0,1.0,1.0
36,968,418744.5,3814564.5,2022,150.0,189.0,233.0,243.0,254.0,276.0,311.0,1.0,1.0
36,996,418828.5,3814564.5,2022,146.0,211.0,233.0,243.0,253.0,274.0,315.0,1.0,1.0
30,1039,418957.5,3814582.5,2022,151.0,187.0,233.0,242.0,253.0,274.0,313.0,1.0,1.0
58,1058,419014.5,3814498.5,2022,125.0,215.0,232.0,240.0,250.0,270.0,315.0,1.0,1.0
32,1080,419080.5,3814576.5,2022,137.0,213.0,232.0,241.0,252.0,272.0,318.0,1.0,1.0
43,1133,419239.5,3814543.5,2022,126.0,182.0,231.0,241.0,252.0,277.0,334.0,1.0,1.0
58,1161,419323.5,3814498.5,2022,153.0,214.0,231.0,239.0,249.0,268.0,304.0,1.0,1.0
45,1195,419425.5,3814537.5,2022,140.0,211.0,229.0,237.0,246.0,266.0,300.0,1.0,1.0
43,1204,419452.5,3814543.5,2022,148.0,207.0,229.0,237.0,247.0,269.0,301.0,1.0,1.0
37,1236,419548.5,3814561.5,2022,151.0,211.0,229.0,237.0,247.0,268.0,305.0,1.0,1.0
59,1276,419668.5,3814495.5,2022,118.0,208.0,230.0,239.0,250.0,272.0,311.0,1.0,2.0
44,1297,419731.5,3814540.5,2022,149.0,210.0,228.0,237.0,247.0,267.0,299.0,1.0,2.0
31,1340,419860.5,3814579.5,2022,131.0,204.0,228.0,237.0,247.0,273.0,308.0,1.0,1.0
30,1360,419920.5,3814582.5,2022,152.0,197.0,227.0,236.0,246.0,269.0,303.0,1.0,1.0
58,1385,419995.5,3814498.5,2022,127.0,184.0,226.0,236.0,247.0,274.0,316.0,1.0,1.0
32,1432,420136.5,3814576.5,2022,147.0,197.0,228.0,237.0,248.0,274.0,308.0,1.0,1.0
49,1469,420247.5,3814525.5,2022,158.0,209.0,229.0,238.0,250.0,276.0,302.0,1.0,1.0
54,1485,420295.5,3814510.5,2022,153.0,181.0,227.0,236.0,247.0,273.0,309.0,1.0,1.0
32,1528,420424.5,3814576.5,2022,161.0,196.0,227.0,237.0,248.0,273.0,303.0,1.0,1.0
50,1537,420451.5,3814522.5,2022,159.0,206.0,227.0,236.0,247.0,269.0,303.0,1.0,1.0
56,1570,420550.5,3814504.5,2022,150.0,185.0,227.0,237.0,247.0,270.0,300.0,1.0,1.0
53,1612,420676.5,3814513.5,2022,152.0,202.0,229.0,238.0,250.0,275.0,306.0,1.0,1.0
52,1626,420718.5,3814516.5,2022,161.0,212.0,229.0,238.0,250.0,273.0,302.0,1.0,1.0
36,1654,420802.5,3814564.5,2022,151.0,206.0,228.0,238.0,249.0,273.0,301.0,1.0,2.0
37,1709,420967.5,3814561.5,2022,155.0,210.0,228.0,237.0,248.0,271.0,313.0,1.0,2.0
34,1715,420985.5,3814570.5,2022,156.0,214.0,230.0,238.0,249.0,271.0,300.0,1.0,1.0
54,1764,421132.5,3814510.5,2022,163.0,209.0,228.0,237.0,249.0,272.0,300.0,1.0,1.0
41,1794,421222.5,3814549.5,2022,150.0,185.0,230.0,239.0,251.0,273.0,304.0,1.0,1.0
57,1817,421291.5,3814501.5,2022,144.0,182.0,227.0,237.0,248.0,272.0,308.0,1.0,1.0
40,1831,421333.5,3814552.5,2022,150.0,194.0,228.0,238.0,249.0,272.0,299.0,1.0,1.0
50,1862,421426.5,3814522.5,2022,152.0,187.0,228.0,237.0,248.0,272.0,309.0,1.0,1.0
