row,col,x,y,year,kmeans_label,gmm_label,gmm_posterior_0,gmm_posterior_1,gmm_posterior_2,gmm_posterior_3,gmm_posterior_4,gmm_posterior_5,gmm_posterior_6,gmm_posterior_7,gmm_posterior_8,gmm_posterior_9
3,1887,421501.5,3814663.5,2022,2,5,3.3159592329746958e-71,1.880681929291245e-05,2.532234596132156e-57,6.4513610913676865e-09,2.2934845227404674e-34,0.9996735360577531,1.3794441044178758e-20,5.350184084741782e-18,0.0003076506682577508,3.33457750986651e-12
20,1902,421546.5,3814612.5,2022,8,8,5.460921348113537e-71,2.505482733912483e-05,1.6262663756426678e-57,1.8559145377949273e-06,1.3908912044433335e-30,0.14829280083284663,1.3205645206562788e-20,1.9711806028686407e-10,0.8516802881267139,1.0144438294370894e-10
16,1922,421606.5,3814624.5,2022,0,5,2.0784143171010397e-68,0.0002570994428433766,1.106229699017551e-52,1.7257768812490494e-07,2.3448370265950262e-32,0.9643967530552845,5.670592934397556e-21,2.934790097648585e-14,0.0353459748828674,4.12869264572764e-11
10,1959,421717.5,3814642.5,2022,2,5,9.537631442878882e-48,3.0215585200928122e-05,7.958345112226379e-39,1.9077922128779406e-06,7.711950541999725e-21,0.9928472803269662,2.6177526948353085e-13,3.1964131489749018e-12,0.0071205881816973115,8.110464978094584e-09
13,1983,421789.5,3814633.5,2022,0,8,6.4545499619622844e-43,0.0001869909548526261,3.0814542695328078e-34,1.0494302670806082e-05,1.78830866969709e-19,0.26324301627429053,8.083790736679072e-12,2.8537487691337406e-09,0.7365594792651148,1.634123898918153e-08
29,2017,421891.5,3814585.5,2022,0,5,3.803276608889641e-46,1.732497112492729e-05,1.4271289750887335e-35,1.5171186358454575e-05,3.2950797357748086e-21,0.5619195765046227,8.703799749131731e-13,2.091790233999783e-10,0.4380478845636512,4.2564192584259496e-08
0,2062,422026.5,3814672.5,2022,0,8,2.637455383879633e-45,0.00022924593953268117,2.7610326981986515e-35,7.346995879998491e-05,3.352807743470712e-22,0.009572990473451668,8.59030781181685e-15,2.3220982820029364e-07,0.9901240451565362,1.6261842807850156e-08
0,2085,422095.5,3814672.5,2022,9,6,9.616357355370555e-05,0.0018375901500613315,0.001004328230914997,0.14487641108091698,0.000761994048456461,5.385610569224713e-05,0.8484467235211761,0.002616811734302826,1.4153236657737184e-05,0.00029196831826833235
15,2104,422152.5,3814627.5,2022,0,5,5.500597491158595e-39,0.0031603055702540232,3.4492059861942654e-27,0.0030985130085541854,1.718258945176754e-18,0.9786177509513264,4.882227180519795e-12,5.8328003140990085e-08,0.015119066701068806,4.305435911226222e-06
11,2138,422254.5,3814639.5,2022,0,8,3.9502145951476137e-38,3.857850589726342e-06,3.128268862512094e-29,5.7075796093407645e-05,1.502565924582487e-17,0.028651865525911625,1.259485744431156e-11,9.540441031080698e-08,0.971286775554804,3.298555956225333e-07
15,2167,422341.5,3814627.5,2022,6,8,2.5876990912970743e-42,0.00020156745905599546,1.1020899948891422e-34,0.00032405892755508293,4.118023170299687e-21,0.0021896924640563064,6.474368713556452e-13,9.11765540779576e-06,0.9972753159102508,2.4758302644599685e-07
23,2193,422419.5,3814603.5,2022,0,5,3.947996484585072e-32,5.234159648663571e-05,3.0200979929366465e-22,0.000650149216702553,1.4767795619187343e-15,0.9964452585504633,9.361746541986978e-09,1.3667920141826885e-08,0.00284677604032043,5.451566359099258e-06
4,2226,422518.5,3814660.5,2022,0,8,1.490512450357745e-33,1.1469639937508552e-05,2.8272011695398207e-24,0.0005696291788432256,2.196433758578609e-14,0.01183843784384667,3.671531248479707e-11,4.717926537568493e-05,0.9875284899789317,4.79405632830661e-06
14,2271,422653.5,3814630.5,2022,6,8,4.3762021519878134e-30,8.325725626030298e-05,1.7539264843759945e-23,0.004066259031824382,4.2433124058938e-12,0.001311970418155452,7.799058745869665e-11,0.009209345921438213,0.9852960743741552,3.3092915933259957e-05
18,2309,422767.5,3814618.5,2022,6,8,4.6744794786094093e-38,0.00011184367103682015,8.423662888523508e-30,0.0013302434724017462,3.667469432315566e-17,0.00141908564971257,1.7611068448725787e-13,0.0006094669193179135,0.9965237355531786,5.624734176665329e-06
5,2329,422827.5,3814657.5,2022,6,8,8.864681677698827e-20,0.00016734606941511438,5.993627244575027e-20,0.013803641234809021,3.0005378139211e-08,6.243318087800495e-05,1.8730618353120315e-08,0.1626803845189139,0.8231122296540957,0.00017391660589110148
10,2369,422947.5,3814642.5,2022,4,7,1.493029803029503e-13,0.00037154279678595003,5.058177732361184e-23,0.025025073115642837,2.8542229235746966e-06,1.0150921815536782e-07,2.1652546891183377e-09,0.7390969567272679,0.2354083194888493,9.514997390892159e-05
20,2383,422989.5,3814612.5,2022,6,7,6.206085416672901e-18,0.00023136088345837114,1.322789295432294e-21,0.010465553481165608,6.995446163195565e-07,4.922593232935845e-06,3.586730161823063e-09,0.633970822174253,0.3551192532520571,0.0002073844844860806
19,2400,423040.5,3814615.5,2022,6,7,7.897659825930675e-17,0.001537684034349563,7.5308199537086e-21,0.06231386931259412,1.2028445832637362e-06,1.0203339589377488e-06,1.4418499252177e-08,0.7647215325698349,0.1713532827627761,7.139372340327467e-05
0,2452,423196.5,3814672.5,2022,6,7,1.9613342023517233e-17,0.0010699577852361264,2.4074788420399022e-30,0.01115403244203626,1.3995841739464058e-08,4.253567631817456e-09,2.5126614443015e-11,0.9613115232987642,0.026462721217470758,1.746981956411802e-06
7,2471,423253.5,3814651.5,2022,6,7,2.1886883045869935e-16,0.00600709211390357,3.410588498620177e-35,0.006651046586106216,5.652344731996874e-08,6.737154312717022e-11,6.870330971961151e-13,0.9755236093102365,0.011817043312728953,1.1520855194747063e-06
12,2504,423352.5,3814636.5,2022,6,7,7.973269198407736e-15,0.42411268912056593,2.8410075727498667e-40,0.022577504402836297,7.455541945635862e-09,1.1554450628675394e-11,4.958838040688602e-13,0.5532974391346072,1.2358026844009274e-05,1.847546048368129e-09
