row,col,x,y,year,gmm_full_k3,gmm_full_k4,gmm_full_k5,gmm_full_k6,gmm_full_k7,gmm_full_k8,gmm_full_k9,gmm_full_k10,gmm_full_k11,gmm_full_k12,gmm_full_k13,gmm_full_k14,gmm_full_k15,gmm_full_k16,gmm_full_k17,gmm_full_k18,gmm_full_k19,gmm_full_k20,gmm_diag_k3,gmm_diag_k4,gmm_diag_k5,gmm_diag_k6,gmm_diag_k7,gmm_diag_k8,gmm_diag_k9,gmm_diag_k10,gmm_diag_k11,gmm_diag_k12,gmm_diag_k13,gmm_diag_k14,gmm_diag_k15,gmm_diag_k16,gmm_diag_k17,gmm_diag_k18,gmm_diag_k19,gmm_diag_k20
11,985,418795.5,3814639.5,2022,1,2,4,3,0,4,0,0,9,9,1,4,13,2,13,1,7,5,0,3,1,5,0,7,1,4,3,9,4,12,9,13,12,0,16,1
9,990,418810.5,3814645.5,2022,1,2,4,2,3,4,3,2,1,11,1,4,1,9,13,1,7,11,2,3,1,5,0,7,5,8,0,9,9,12,12,12,3,12,8,5
29,1028,418924.5,3814585.5,2022,2,0,3,0,4,3,6,5,2,1,6,7,0,10,7,14,1,0,0,3,1,5,0,7,5,4,2,10,9,6,4,14,3,13,8,12
5,1057,419011.5,3814657.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,12,7,11,2,3,1,5,0,7,5,8,0,9,7,12,10,0,1,12,8,5
11,1105,419155.5,3814639.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,1,7,11,2,3,1,5,0,7,5,8,0,9,9,12,12,12,3,12,6,5
6,1138,419254.5,3814654.5,2022,2,0,3,0,4,3,6,8,2,1,6,7,0,10,1,14,1,0,0,3,1,5,0,7,5,3,2,10,9,6,4,14,3,13,2,12
21,1166,419338.5,3814609.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,1,17,15,2,2,3,2,4,4,3,8,5,9,7,9,14,9,14,5,1,13
28,1198,419434.5,3814588.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
26,1216,419488.5,3814594.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,3,7,11,2,2,3,2,4,4,8,1,6,0,7,1,10,0,1,10,13,4
6,1251,419593.5,3814654.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
7,1278,419674.5,3814651.5,2022,2,0,3,0,4,3,6,8,2,1,6,7,0,8,1,8,18,19,2,2,3,2,2,6,3,9,2,11,10,3,13,6,5,8,5,13
8,1293,419719.5,3814648.5,2022,1,2,4,1,3,2,3,4,7,11,2,13,9,9,9,6,10,11,2,2,3,2,4,4,8,1,0,9,7,13,14,9,10,5,1,19
25,1338,419854.5,3814597.5,2022,1,2,4,1,0,4,0,4,7,5,2,13,8,7,9,3,12,11,2,2,3,2,4,4,8,1,6,3,2,13,14,9,10,5,1,19
12,1352,419896.5,3814636.5,2022,2,0,3,0,4,3,7,5,8,6,11,13,4,6,1,5,5,14,0,3,2,0,2,6,3,9,5,11,10,9,13,6,14,11,5,13
29,1408,420064.5,3814585.5,2022,2,0,3,0,2,3,6,8,2,1,6,7,0,8,1,8,18,19,2,2,3,2,4,4,8,1,6,3,2,13,3,15,5,8,14,17
6,1438,420154.5,3814654.5,2022,0,2,0,5,6,2,4,6,9,9,2,13,7,5,14,5,0,17,2,3,3,2,2,6,3,9,5,11,10,9,13,6,14,11,5,13
24,1458,420214.5,3814600.5,2022,0,2,1,1,6,2,4,6,7,5,2,13,6,6,16,11,9,6,2,2,3,2,4,4,8,1,6,3,2,13,14,9,10,5,1,19
7,1492,420316.5,3814651.5,2022,2,0,3,0,2,3,6,8,2,1,6,7,0,8,1,8,18,19,2,2,3,2,4,4,8,1,2,3,2,13,4,15,5,8,14,17
