row,col,x,y,year,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,kmeans_k9,kmeans_k10,kmeans_k11,kmeans_k12,kmeans_k13,kmeans_k14,kmeans_k15,kmeans_k16,kmeans_k17,kmeans_k18,kmeans_k19,kmeans_k20
44,379,416977.5,3814540.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
57,407,417061.5,3814501.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
40,448,417184.5,3814552.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
45,468,417244.5,3814537.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
47,489,417307.5,3814531.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
55,525,417415.5,3814507.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
38,555,417505.5,3814558.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
51,594,417622.5,3814519.5,2022,0,0,4,3,3,4,3,9,10,10,0,9,7,3,9,10,4,1
53,617,417691.5,3814513.5,2022,1,0,1,4,4,2,8,3,9,1,12,0,4,10,16,5,1,11
46,651,417793.5,3814534.5,2022,0,3,4,3,3,4,3,7,10,2,6,9,2,3,9,10,4,1
54,662,417826.5,3814510.5,2022,0,0,4,3,4,2,5,9,4,10,0,9,7,3,9,10,4,1
54,704,417952.5,3814510.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
37,732,418036.5,3814561.5,2022,0,3,4,3,3,4,3,9,10,10,0,9,7,3,9,10,4,1
34,773,418159.5,3814570.5,2022,1,0,1,4,4,2,8,3,5,9,5,0,12,10,16,5,1,11
39,797,418231.5,3814555.5,2022,0,0,1,4,4,2,5,9,4,9,0,0,12,10,1,0,3,15
37,833,418339.5,3814561.5,2022,0,0,1,4,4,2,5,9,4,10,0,9,7,3,9,0,4,15
59,848,418384.5,3814495.5,2022,1,0,1,4,4,6,8,3,5,4,5,0,4,10,16,5,1,11
39,870,418450.5,3814555.5,2022,1,0,1,4,4,2,8,3,5,1,12,0,4,10,16,5,1,11
56,921,418603.5,3814504.5,2022,0,0,4,3,4,2,5,9,4,10,0,9,7,3,9,10,4,1
40,959,418717.5,3814552.5,2022,0,0,1,4,4,2,5,9,4,10,0,9,7,3,9,10,4,1
36,968,418744.5,3814564.5,2022,0,0,1,4,4,2,5,9,4,9,0,13,12,3,9,0,3,15
36,996,418828.5,3814564.5,2022,0,0,1,4,4,2,5,9,4,9,0,4,12,9,1,0,3,15
30,1039,418957.5,3814582.5,2022,0,0,1,4,4,2,5,9,1,5,9,13,11,4,12,8,2,2
58,1058,419014.5,3814498.5,2022,1,2,2,4,4,1,8,3,9,1,12,0,4,10,16,5,1,11
32,1080,419080.5,3814576.5,2022,1,0,1,4,4,2,5,9,4,1,12,0,4,10,16,5,1,11
43,1133,419239.5,3814543.5,2022,1,2,2,0,0,6,8,2,5,4,5,10,3,4,12,12,6,17
