row,col,x,y,year,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,NumCycles,QA
1,2431,602524.5,3516712.5,2022,191.0,209.0,231.0,244.0,255.0,282.0,338.0,1.0,1.0
13,2473,602650.5,3516676.5,2022,195.0,211.0,226.0,237.0,247.0,265.0,341.0,1.0,1.0
7,2494,602713.5,3516694.5,2022,191.0,212.0,230.0,240.0,249.0,267.0,308.0,1.0,1.0
9,2540,602851.5,3516688.5,2022,193.0,208.0,224.0,234.0,243.0,259.0,306.0,1.0,1.0
4,2577,602962.5,3516703.5,2022,191.0,206.0,222.0,234.0,245.0,265.0,335.0,1.0,1.0
21,2603,603040.5,3516652.5,2022,190.0,206.0,224.0,235.0,245.0,260.0,297.0,1.0,1.0
19,2629,603118.5,3516658.5,2022,190.0,206.0,223.0,235.0,247.0,267.0,331.0,1.0,1.0
19,2652,603187.5,3516658.5,2022,190.0,210.0,230.0,240.0,249.0,267.0,333.0,1.0,1.0
24,2685,603286.5,3516643.5,2022,193.0,207.0,223.0,235.0,245.0,260.0,296.0,1.0,1.0
25,2729,603418.5,3516640.5,2022,191.0,205.0,222.0,233.0,243.0,258.0,300.0,1.0,1.0
5,2734,603433.5,3516700.5,2022,190.0,204.0,220.0,232.0,243.0,260.0,311.0,1.0,1.0
5,2770,603541.5,3516700.5,2022,192.0,206.0,222.0,233.0,243.0,259.0,318.0,1.0,1.0
22,2802,603637.5,3516649.5,2022,191.0,206.0,223.0,234.0,244.0,261.0,318.0,1.0,1.0
8,2832,603727.5,3516691.5,2022,186.0,203.0,225.0,239.0,249.0,271.0,337.0,1.0,1.0
11,2851,603784.5,3516682.5,2022,191.0,207.0,223.0,234.0,244.0,264.0,335.0,1.0,1.0
3,2903,603940.5,3516706.5,2022,189.0,207.0,226.0,239.0,251.0,280.0,340.0,1.0,1.0
29,2915,603976.5,3516628.5,2022,187.0,203.0,230.0,243.0,255.0,293.0,346.0,1.0,2.0
0,2949,604078.5,3516715.5,2022,190.0,209.0,229.0,241.0,252.0,283.0,342.0,1.0,1.0
24,2996,604219.5,3516643.5,2022,184.0,203.0,232.0,245.0,256.0,284.0,346.0,1.0,1.0
20,3015,604276.5,3516655.5,2022,189.0,205.0,225.0,237.0,247.0,268.0,313.0,1.0,1.0
7,3049,604378.5,3516694.5,2022,186.0,203.0,225.0,236.0,246.0,269.0,331.0,1.0,1.0
12,3086,604489.5,3516679.5,2022,187.0,203.0,218.0,229.0,240.0,257.0,299.0,1.0,1.0
16,3114,604573.5,3516667.5,2022,187.0,201.0,215.0,226.0,237.0,255.0,325.0,1.0,1.0
25,3137,604642.5,3516640.5,2022,193.0,207.0,223.0,233.0,243.0,261.0,339.0,1.0,1.0
2,3169,604738.5,3516709.5,2022,188.0,205.0,222.0,233.0,243.0,260.0,301.0,1.0,1.0
29,3188,604795.5,3516628.5,2022,188.0,205.0,220.0,231.0,242.0,261.0,337.0,1.0,1.0
21,3212,604867.5,3516652.5,2022,188.0,205.0,222.0,234.0,245.0,268.0,326.0,1.0,1.0
14,3259,605008.5,3516673.5,2022,191.0,206.0,221.0,233.0,244.0,264.0,324.0,1.0,1.0
27,3287,605092.5,3516634.5,2022,190.0,207.0,225.0,236.0,246.0,265.0,303.0,1.0,1.0
10,3328,605215.5,3516685.5,2022,188.0,208.0,227.0,239.0,250.0,278.0,347.0,1.0,1.0
15,3332,605227.5,3516670.5,2022,188.0,208.0,227.0,238.0,250.0,280.0,341.0,1.0,1.0
47,9,595258.5,3516574.5,2022,199.0,218.0,235.0,245.0,257.0,284.0,339.0,1.0,1.0
55,45,595366.5,3516550.5,2022,203.0,219.0,234.0,244.0,254.0,282.0,351.0,1.0,1.0
38,75,595456.5,3516601.5,2022,199.0,219.0,235.0,245.0,256.0,286.0,337.0,1.0,1.0
51,114,595573.5,3516562.5,2022,201.0,216.0,231.0,241.0,252.0,280.0,345.0,1.0,1.0
53,138,595645.5,3516556.5,2022,203.0,219.0,235.0,244.0,255.0,285.0,346.0,1.0,1.0
46,171,595744.5,3516577.5,2022,205.0,220.0,236.0,247.0,260.0,287.0,333.0,1.0,1.0
54,182,595777.5,3516553.5,2022,201.0,219.0,236.0,247.0,259.0,284.0,334.0,1.0,1.0
54,224,595903.5,3516553.5,2022,203.0,220.0,238.0,250.0,262.0,285.0,339.0,1.0,1.0
37,252,595987.5,3516604.5,2022,201.0,216.0,231.0,242.0,255.0,283.0,345.0,1.0,1.0
35,284,596083.5,3516610.5,2022,203.0,218.0,233.0,244.0,257.0,286.0,345.0,1.0,1.0
39,322,596197.5,3516598.5,2022,204.0,219.0,235.0,246.0,257.0,283.0,342.0,1.0,1.0
38,331,596224.5,3516601.5,2022,202.0,219.0,235.0,246.0,257.0,284.0,339.0,1.0,1.0
59,368,596335.5,3516538.5,2022,201.0,217.0,233.0,245.0,257.0,283.0,337.0,1.0,1.0
39,390,596401.5,3516598.5,2022,200.0,214.0,230.0,241.0,252.0,274.0,330.0,1.0,1.0
56,441,596554.5,3516547.5,2022,199.0,216.0,233.0,243.0,255.0,279.0,337.0,1.0,1.0
40,479,596668.5,3516595.5,2022,199.0,216.0,232.0,242.0,253.0,279.0,332.0,1.0,1.0
36,488,596695.5,3516607.5,2022,175.0,217.0,233.0,244.0,256.0,281.0,323.0,1.0,1.0
36,516,596779.5,3516607.5,2022,203.0,219.0,234.0,245.0,256.0,281.0,336.0,1.0,1.0
30,559,596908.5,3516625.5,2022,201.0,217.0,232.0,242.0,252.0,277.0,340.0,1.0,1.0
58,578,596965.5,3516541.5,2022,204.0,218.0,232.0,243.0,254.0,277.0,328.0,1.0,1.0
32,602,597037.5,3516619.5,2022,202.0,217.0,234.0,245.0,255.0,280.0,322.0,1.0,1.0
45,630,597121.5,3516580.5,2022,203.0,218.0,236.0,248.0,259.0,283.0,339.0,1.0,1.0
58,672,597247.5,3516541.5,2022,201.0,216.0,231.0,241.0,252.0,274.0,320.0,1.0,1.0
45,712,597367.5,3516580.5,2022,205.0,219.0,235.0,246.0,257.0,281.0,328.0,1.0,1.0
43,724,597403.5,3516586.5,2022,201.0,217.0,234.0,246.0,257.0,280.0,326.0,1.0,1.0
37,756,597499.5,3516604.5,2022,202.0,215.0,229.0,240.0,252.0,277.0,341.0,1.0,1.0
59,803,597640.5,3516538.5,2022,200.0,217.0,231.0,239.0,249.0,273.0,344.0,1.0,1.0
44,817,597682.5,3516583.5,2022,200.0,215.0,230.0,241.0,252.0,275.0,312.0,1.0,1.0
31,863,597820.5,3516622.5,2022,200.0,215.0,229.0,239.0,250.0,272.0,304.0,1.0,1.0
30,880,597871.5,3516625.5,2022,202.0,216.0,229.0,238.0,248.0,268.0,302.0,1.0,1.0
58,913,597970.5,3516541.5,2022,197.0,212.0,226.0,235.0,244.0,265.0,296.0,1.0,1.0
32,955,598096.5,3516619.5,2022,198.0,213.0,230.0,240.0,251.0,273.0,303.0,1.0,1.0
49,983,598180.5,3516568.5,2022,198.0,211.0,224.0,233.0,243.0,263.0,299.0,1.0,1.0
54,1012,598267.5,3516553.5,2022,198.0,211.0,225.0,235.0,245.0,263.0,300.0,1.0,1.0
33,1027,598312.5,3516616.5,2022,200.0,214.0,227.0,237.0,247.0,270.0,307.0,1.0,1.0
50,1058,598405.5,3516565.5,2022,195.0,211.0,226.0,235.0,245.0,263.0,301.0,1.0,1.0
56,1088,598495.5,3516547.5,2022,193.0,210.0,226.0,235.0,244.0,262.0,297.0,1.0,1.0
53,1132,598627.5,3516556.5,2022,194.0,212.0,228.0,237.0,245.0,262.0,297.0,1.0,1.0
49,1140,598651.5,3516568.5,2022,189.0,210.0,225.0,235.0,244.0,261.0,302.0,1.0,1.0
35,1198,598825.5,3516610.5,2022,194.0,212.0,228.0,237.0,246.0,262.0,296.0,1.0,1.0
41,1209,598858.5,3516592.5,2022,195.0,212.0,227.0,237.0,245.0,261.0,299.0,1.0,1.0
33,1259,599008.5,3516616.5,2022,195.0,212.0,227.0,236.0,245.0,263.0,294.0,1.0,1.0
54,1284,599083.5,3516553.5,2022,192.0,211.0,227.0,237.0,246.0,261.0,307.0,1.0,1.0
41,1314,599173.5,3516592.5,2022,192.0,209.0,226.0,237.0,248.0,272.0,316.0,1.0,1.0
57,1338,599245.5,3516544.5,2022,193.0,213.0,229.0,239.0,248.0,265.0,308.0,1.0,1.0
40,1351,599284.5,3516595.5,2022,194.0,211.0,227.0,237.0,247.0,266.0,306.0,1.0,1.0
50,1381,599374.5,3516565.5,2022,193.0,212.0,230.0,239.0,248.0,266.0,306.0,1.0,1.0
31,1429,599518.5,3516622.5,2022,195.0,213.0,227.0,236.0,244.0,260.0,294.0,1.0,1.0
53,1458,599605.5,3516556.5,2022,192.0,210.0,226.0,235.0,244.0,260.0,291.0,1.0,1.0
40,1480,599671.5,3516595.5,2022,193.0,210.0,226.0,235.0,244.0,260.0,304.0,1.0,1.0
37,1502,599737.5,3516604.5,2022,194.0,211.0,226.0,235.0,244.0,259.0,294.0,1.0,1.0
51,1531,599824.5,3516562.5,2022,194.0,211.0,226.0,236.0,244.0,259.0,297.0,1.0,1.0
48,1566,599929.5,3516571.5,2022,190.0,209.0,226.0,236.0,245.0,262.0,301.0,1.0,1.0
32,1596,600019.5,3516619.5,2022,191.0,211.0,227.0,236.0,245.0,262.0,301.0,1.0,1.0
30,1642,600157.5,3516625.5,2022,195.0,212.0,228.0,237.0,246.0,260.0,303.0,1.0,1.0
33,1652,600187.5,3516616.5,2022,197.0,215.0,229.0,238.0,246.0,259.0,299.0,1.0,1.0
56,1702,600337.5,3516547.5,2022,193.0,214.0,230.0,239.0,248.0,264.0,300.0,1.0,1.0
59,1730,600421.5,3516538.5,2022,195.0,214.0,227.0,236.0,246.0,264.0,310.0,1.0,1.0
51,1762,600517.5,3516562.5,2022,194.0,209.0,222.0,230.0,238.0,254.0,278.0,1.0,1.0
47,1779,600568.5,3516574.5,2022,193.0,212.0,225.0,235.0,245.0,262.0,291.0,1.0,1.0
39,1829,600718.5,3516598.5,2022,192.0,214.0,228.0,238.0,248.0,268.0,316.0,1.0,1.0
59,1838,600745.5,3516538.5,2022,187.0,203.0,221.0,234.0,245.0,276.0,349.0,1.0,1.0
46,1882,600877.5,3516577.5,2022,190.0,208.0,225.0,237.0,247.0,266.0,300.0,1.0,1.0
37,1913,600970.5,3516604.5,2022,191.0,207.0,224.0,236.0,246.0,262.0,295.0,1.0,1.0
39,1923,601000.5,3516598.5,2022,188.0,207.0,224.0,236.0,245.0,260.0,289.0,1.0,1.0
30,1962,601117.5,3516625.5,2022,191.0,203.0,214.0,224.0,241.0,263.0,308.0,1.0,1.0
54,2000,601231.5,3516553.5,2022,193.0,211.0,227.0,237.0,246.0,259.0,293.0,1.0,1.0
34,2035,601336.5,3516613.5,2022,192.0,205.0,218.0,230.0,245.0,264.0,319.0,1.0,1.0
48,2063,601420.5,3516571.5,2022,194.0,209.0,225.0,236.0,245.0,258.0,290.0,1.0,1.0
32,2087,601492.5,3516619.5,2022,193.0,210.0,227.0,238.0,247.0,262.0,304.0,1.0,1.0
41,2110,601561.5,3516592.5,2022,193.0,209.0,225.0,236.0,246.0,260.0,302.0,1.0,1.0
49,2158,601705.5,3516568.5,2022,194.0,210.0,225.0,235.0,245.0,260.0,289.0,1.0,1.0
47,2186,601789.5,3516574.5,2022,194.0,212.0,228.0,238.0,247.0,261.0,314.0,1.0,1.0
36,2215,601876.5,3516607.5,2022,192.0,212.0,228.0,238.0,248.0,263.0,311.0,1.0,1.0
37,2229,601918.5,3516604.5,2022,192.0,211.0,229.0,239.0,248.0,264.0,302.0,1.0,1.0
40,2263,602020.5,3516595.5,2022,195.0,214.0,231.0,240.0,249.0,266.0,311.0,1.0,1.0
44,2284,602083.5,3516583.5,2022,192.0,208.0,224.0,235.0,245.0,259.0,302.0,1.0,1.0
40,2319,602188.5,3516595.5,2022,194.0,211.0,228.0,238.0,248.0,265.0,334.0,1.0,1.0
38,2352,602287.5,3516601.5,2022,195.0,213.0,230.0,240.0,249.0,268.0,317.0,1.0,1.0
52,2376,602359.5,3516559.5,2022,191.0,205.0,220.0,232.0,244.0,262.0,290.0,1.0,1.0
46,2429,602518.5,3516577.5,2022,195.0,211.0,228.0,239.0,248.0,263.0,306.0,1.0,1.0
45,2456,602599.5,3516580.5,2022,193.0,209.0,226.0,236.0,245.0,260.0,309.0,1.0,1.0
32,2479,602668.5,3516619.5,2022,195.0,211.0,226.0,236.0,245.0,260.0,308.0,1.0,1.0
50,2513,602770.5,3516565.5,2022,193.0,210.0,226.0,236.0,245.0,259.0,292.0,1.0,1.0
36,2520,602791.5,3516607.5,2022,190.0,208.0,227.0,237.0,245.0,260.0,295.0,1.0,1.0
54,2577,602962.5,3516553.5,2022,191.0,207.0,225.0,236.0,246.0,261.0,313.0,1.0,1.0
50,2597,603022.5,3516565.5,2022,191.0,208.0,227.0,237.0,247.0,262.0,294.0,1.0,1.0
42,2610,603061.5,3516589.5,2022,192.0,209.0,227.0,236.0,245.0,261.0,295.0,1.0,1.0
50,2662,603217.5,3516565.5,2022,194.0,210.0,228.0,238.0,248.0,266.0,312.0,1.0,1.0
44,2679,603268.5,3516583.5,2022,193.0,209.0,226.0,236.0,245.0,262.0,308.0,1.0,1.0
33,2718,603385.5,3516616.5,2022,189.0,205.0,224.0,235.0,245.0,260.0,300.0,1.0,1.0
47,2736,603439.5,3516574.5,2022,191.0,206.0,223.0,235.0,245.0,259.0,301.0,1.0,1.0
30,2766,603529.5,3516625.5,2022,192.0,210.0,229.0,239.0,248.0,264.0,309.0,1.0,1.0
59,2798,603625.5,3516538.5,2022,188.0,201.0,214.0,223.0,236.0,259.0,295.0,1.0,1.0
51,2827,603712.5,3516562.5,2022,188.0,204.0,218.0,229.0,244.0,266.0,314.0,1.0,1.0
47,2879,603868.5,3516574.5,2022,188.0,206.0,226.0,240.0,254.0,282.0,331.0,1.0,1.0
52,2890,603901.5,3516559.5,2022,186.0,207.0,230.0,242.0,253.0,282.0,333.0,1.0,1.0
58,2920,603991.5,3516541.5,2022,182.0,207.0,233.0,245.0,256.0,289.0,341.0,1.0,1.0
53,2957,604102.5,3516556.5,2022,188.0,206.0,228.0,241.0,252.0,281.0,346.0,1.0,1.0
41,2999,604228.5,3516592.5,2022,189.0,205.0,223.0,237.0,249.0,279.0,343.0,1.0,1.0
30,3025,604306.5,3516625.5,2022,188.0,204.0,227.0,238.0,248.0,268.0,344.0,1.0,1.0
31,3056,604399.5,3516622.5,2022,186.0,203.0,219.0,230.0,242.0,261.0,331.0,1.0,1.0
40,3069,604438.5,3516595.5,2022,189.0,204.0,224.0,236.0,246.0,266.0,349.0,1.0,1.0
55,3100,604531.5,3516550.5,2022,191.0,204.0,219.0,230.0,240.0,257.0,304.0,1.0,1.0
45,3124,604603.5,3516580.5,2022,190.0,205.0,222.0,232.0,242.0,261.0,331.0,1.0,1.0
30,3154,604693.5,3516625.5,2022,188.0,204.0,221.0,232.0,242.0,262.0,332.0,1.0,1.0
45,3186,604789.5,3516580.5,2022,190.0,205.0,220.0,231.0,242.0,260.0,330.0,1.0,1.0
31,3218,604885.5,3516622.5,2022,189.0,205.0,223.0,235.0,246.0,272.0,345.0,1.0,1.0
59,3263,605020.5,3516538.5,2022,194.0,209.0,227.0,239.0,249.0,272.0,353.0,1.0,1.0
31,3270,605041.5,3516622.5,2022,190.0,205.0,220.0,231.0,242.0,261.0,307.0,1.0,1.0
39,3309,605158.5,3516598.5,2022,195.0,213.0,229.0,239.0,249.0,279.0,348.0,1.0,1.0
47,3333,605230.5,3516574.5,2022,189.0,210.0,228.0,240.0,251.0,277.0,336.0,1.0,1.0
64,28,595315.5,3516523.5,2022,204.0,219.0,233.0,242.0,253.0,280.0,349.0,1.0,1.0
80,47,595372.5,3516475.5,2022,201.0,216.0,230.0,241.0,252.0,282.0,348.0,1.0,1.0
87,83,595480.5,3516454.5,2022,199.0,213.0,229.0,239.0,249.0,273.0,350.0,1.0,1.0
62,105,595546.5,3516529.5,2022,200.0,217.0,233.0,243.0,255.0,280.0,346.0,1.0,1.0
82,122,595597.5,3516469.5,2022,202.0,218.0,233.0,243.0,253.0,277.0,341.0,1.0,1.0
77,156,595699.5,3516484.5,2022,198.0,217.0,233.0,244.0,256.0,284.0,347.0,1.0,1.0
