row,col,x,y,year,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,kmeans_k9,kmeans_k10,kmeans_k11,kmeans_k12,kmeans_k13,kmeans_k14,kmeans_k15,kmeans_k16,kmeans_k17,kmeans_k18,kmeans_k19,kmeans_k20
25,2296,602119.5,3516640.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
20,2324,602203.5,3516655.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
15,2346,602269.5,3516670.5,2023,0,0,4,4,0,1,4,7,6,1,11,0,5,5,3,1,4,3
14,2384,602383.5,3516673.5,2023,1,0,4,4,2,1,4,4,6,9,8,10,0,10,11,13,8,17
21,2418,602485.5,3516652.5,2023,1,0,4,4,0,7,1,7,6,1,11,0,5,5,3,1,4,3
10,2450,602581.5,3516685.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
22,2464,602623.5,3516649.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,12,12,16,8,6,12
6,2503,602740.5,3516697.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
8,2536,602839.5,3516691.5,2023,1,1,1,4,0,7,6,7,6,1,11,13,6,5,3,1,4,4
6,2550,602881.5,3516697.5,2023,1,1,1,4,0,7,1,7,6,1,11,13,6,14,1,1,4,4
29,2591,603004.5,3516628.5,2023,1,1,1,4,0,7,6,7,5,8,10,13,6,14,1,6,16,4
16,2634,603133.5,3516667.5,2023,0,0,4,2,4,1,4,4,6,9,8,6,11,12,6,14,17,15
10,2641,603154.5,3516685.5,2023,0,0,4,2,4,1,4,7,6,1,11,0,5,5,3,8,4,3
13,2675,603256.5,3516676.5,2023,1,1,1,4,0,7,1,7,9,3,0,10,0,10,11,13,8,17
8,2727,603412.5,3516691.5,2023,1,0,4,4,2,1,1,8,9,3,0,10,0,10,11,13,8,17
17,2734,603433.5,3516664.5,2023,1,1,1,4,2,6,1,8,9,3,0,10,0,10,11,13,8,17
23,2768,603535.5,3516646.5,2023,1,0,0,1,2,6,1,8,9,3,0,10,0,10,11,13,8,17
4,2817,603682.5,3516703.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,12,12,16,8,6,12
12,2833,603730.5,3516679.5,2023,0,0,4,2,4,4,3,6,6,9,8,6,12,12,16,8,6,12
28,2867,603832.5,3516631.5,2023,0,0,4,4,0,7,6,1,7,11,4,8,12,13,16,8,6,12
13,2901,603934.5,3516676.5,2023,0,0,4,2,4,4,3,1,7,9,4,6,12,12,16,8,6,12
23,2938,604045.5,3516646.5,2023,0,0,4,2,4,1,4,4,2,9,8,6,11,12,6,14,17,15
6,2958,604105.5,3516697.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
18,2979,604168.5,3516661.5,2023,0,0,4,2,4,4,6,1,7,11,4,8,12,13,16,8,6,9
4,3017,604282.5,3516703.5,2023,1,1,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
26,3048,604375.5,3516637.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
17,3075,604456.5,3516664.5,2023,1,1,1,4,0,7,6,7,5,8,10,13,6,14,1,6,16,4
29,3101,604534.5,3516628.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
21,3137,604642.5,3516652.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
10,3168,604735.5,3516685.5,2023,0,0,0,1,4,1,4,4,4,9,8,6,11,12,6,14,17,15
2,3209,604858.5,3516709.5,2023,1,0,0,4,2,6,5,8,9,3,0,10,12,2,16,8,6,12
10,3234,604933.5,3516685.5,2023,0,0,4,4,2,1,4,4,6,9,8,10,0,12,11,8,6,12
16,3241,604954.5,3516667.5,2023,0,0,0,1,2,1,4,1,7,11,4,8,12,2,16,8,6,12
26,3280,605071.5,3516637.5,2023,1,1,1,0,1,0,8,0,0,0,10,7,13,0,0,17,2,11
8,3325,605206.5,3516691.5,2023,0,3,2,5,5,5,7,3,10,4,9,9,2,8,4,11,9,7
11,3330,605221.5,3516682.5,2023,0,0,0,1,4,1,4,4,7,5,9,9,12,3,15,0,15,5
30,6,595249.5,3516625.5,2023,0,0,0,2,4,1,4,4,4,9,8,6,12,12,16,9,5,18
38,32,595327.5,3516601.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
58,81,595474.5,3516541.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
39,115,595576.5,3516598.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
34,136,595639.5,3516613.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
50,155,595696.5,3516565.5,2023,0,0,0,1,6,3,0,4,4,5,5,3,1,9,14,9,5,18
30,187,595792.5,3516625.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
39,231,595924.5,3516598.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
35,245,595966.5,3516610.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
42,294,596113.5,3516589.5,2023,0,0,0,1,6,3,0,9,4,5,5,3,1,9,14,9,5,18
50,304,596143.5,3516565.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
58,333,596230.5,3516541.5,2023,0,0,4,2,4,4,3,6,2,7,1,2,9,15,7,16,11,6
56,371,596344.5,3516547.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,12,12,16,8,6,12
39,391,596404.5,3516598.5,2023,0,0,4,2,4,4,3,6,2,7,1,6,12,12,16,8,6,12
52,445,596566.5,3516559.5,2023,0,0,0,1,6,3,0,4,4,5,5,3,1,9,14,9,5,18
37,453,596590.5,3516604.5,2023,0,0,0,1,6,3,4,4,4,5,5,3,1,9,14,9,5,18
57,490,596701.5,3516544.5,2023,0,0,0,1,6,3,0,9,4,5,5,3,1,9,14,9,5,18
45,538,596845.5,3516580.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
58,550,596881.5,3516541.5,2023,0,0,0,1,6,1,4,4,4,5,5,3,1,9,14,9,5,18
31,582,596977.5,3516622.5,2023,0,0,0,1,6,3,0,9,4,5,5,3,1,9,14,9,5,18
52,615,597076.5,3516559.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
59,643,597160.5,3516538.5,2023,0,0,0,1,6,1,4,4,4,5,8,3,11,9,14,14,17,15
56,664,597223.5,3516547.5,2023,0,0,0,1,6,1,4,4,4,9,8,3,11,9,14,14,17,15
48,708,597355.5,3516571.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
34,743,597460.5,3516613.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
42,777,597562.5,3516589.5,2023,0,0,0,1,6,3,0,4,4,5,5,3,1,9,14,9,5,18
54,808,597655.5,3516553.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
56,819,597688.5,3516547.5,2023,0,0,0,1,6,1,4,4,4,5,5,3,1,9,14,9,5,18
32,857,597802.5,3516619.5,2023,0,0,0,1,6,3,0,4,4,5,5,3,1,9,14,9,5,18
43,876,597859.5,3516586.5,2023,0,0,0,1,6,3,0,9,4,5,5,3,1,9,14,2,12,13
56,921,597994.5,3516547.5,2023,1,0,0,1,2,6,4,8,9,3,0,10,0,10,11,13,8,17
31,951,598084.5,3516622.5,2023,2,2,0,1,6,3,0,9,8,2,5,12,8,7,2,10,10,8
31,961,598114.5,3516622.5,2023,0,0,0,1,6,3,0,9,4,5,5,3,1,9,14,9,5,18
36,995,598216.5,3516607.5,2023,0,0,0,1,2,1,4,4,4,9,8,6,11,12,6,14,17,15
34,1028,598315.5,3516613.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
57,1059,598408.5,3516544.5,2023,1,0,4,4,0,1,4,7,6,1,11,0,5,5,3,1,4,3
50,1082,598477.5,3516565.5,2023,0,0,4,4,2,1,4,4,4,9,8,6,12,12,16,8,6,12
