row,col,x,y,year,kmeans_label,gmm_label,gmm_posterior_0,gmm_posterior_1,gmm_posterior_2,gmm_posterior_3,gmm_posterior_4,gmm_posterior_5,gmm_posterior_6,gmm_posterior_7,gmm_posterior_8,gmm_posterior_9
433,1009,598258.5,3515416.5,2022,0,6,9.925148716179427e-12,0.000789796662981266,0.00037106852850177756,1.2031015396503261e-11,1.2185312283156938e-10,6.540734078987272e-12,0.9985824789426379,7.200638824353727e-05,4.214279019690382e-06,0.00018043504826564067
444,1048,598375.5,3515383.5,2022,0,6,0.0002442358825648049,0.36938983449581847,0.0005960567473910838,0.011095203160812995,0.00028003678689098564,0.00026807286204949174,0.5739986802952283,0.01940359180853201,1.923543254685553e-06,0.02472236441745722
436,1079,598468.5,3515407.5,2022,0,0,0.8274706509897158,0.004210093350217272,1.193480487525046e-07,0.001295191878918282,6.868720804253128e-08,0.0001741496705975713,0.16682242817097653,2.27521360570492e-06,1.4419592339177134e-16,2.5022690713554944e-05
447,1099,598528.5,3515374.5,2022,0,0,0.6710777888578345,0.09502046324113006,3.283669483587709e-06,0.01984013901641752,1.5059321143172122e-06,0.025351775624523332,0.18272917316296247,7.888745660870021e-05,1.3583585948815564e-08,0.005896969455340951
447,1136,598639.5,3515374.5,2022,7,0,0.8152104852693689,0.0035119959112789663,1.5882677434330137e-07,0.00012123385933898156,1.5820406549398198e-08,6.765432061128931e-05,0.18101012959775703,9.608150534210159e-07,1.0428705956431418e-16,7.736557941032526e-05
434,1158,598705.5,3515413.5,2022,0,0,0.9033510107259556,0.0014229361686487248,8.994445646069901e-07,0.002090112488665597,6.074178797216564e-09,0.0012158288775160496,0.09188846709774533,2.186564530682377e-06,3.6466082332113906e-12,2.8552554548448764e-05
422,1180,598771.5,3515449.5,2022,0,0,0.8832425493088104,0.004291480949448065,7.44028369335756e-07,0.011087657543462465,4.1302015571447426e-08,0.0017871756062710342,0.099515701783235,6.416819446051002e-06,2.1986667150500244e-11,6.823263695627881e-05
448,1207,598852.5,3515371.5,2022,7,0,0.9711164656200494,0.0012816909915678847,2.6543561851226383e-07,0.0007995824028957161,3.839411200759961e-10,0.0010374521414296292,0.025736084991529143,1.27844954042888e-06,3.724244005644138e-12,2.7179579703629252e-05
428,1236,598939.5,3515431.5,2022,7,0,0.9696036388351594,0.00560158765890642,2.010961497028676e-07,0.0027387377011305943,1.5439949459295822e-06,0.0037642622378879086,0.01770353553960899,3.257838348725139e-06,3.4847813230132882e-12,0.0005832350943764755
421,1289,599098.5,3515452.5,2022,7,0,0.632436754168383,0.008503387086416802,4.693410978489522e-06,0.28657862100571796,2.2341741201068962e-09,0.05176764917212865,0.02067131747495756,3.655758586730008e-05,5.211901956409586e-10,1.0173401861341506e-06
429,1302,599137.5,3515428.5,2022,0,0,0.9776750112695334,0.0011722448852861445,7.312539598340744e-08,0.007002823172468028,2.929857948848689e-09,0.001495099746498223,0.012650262938818308,5.181371798488991e-07,6.212473726803502e-14,3.963794901610674e-06
421,1330,599221.5,3515452.5,2022,0,0,0.9590064318528384,0.0032429209797878587,9.20910432504637e-08,0.020852248432911877,3.0148618720160976e-09,0.008116208119370718,0.008773207143035072,2.5317501705172906e-06,2.4351772114399015e-12,6.356613546146882e-06
433,1352,599287.5,3515416.5,2022,0,0,0.9227645116653838,0.004639858888887312,3.2450018899546734e-07,0.04617935359549024,1.1016362911671366e-07,0.022984684310809664,0.0033275246184655406,3.5777622577295305e-06,1.1698607852810815e-11,0.00010005448318783034
427,1400,599431.5,3515434.5,2022,7,5,0.08566003317379917,0.003706824755365461,3.166613279431315e-06,0.3113040250352967,2.2391282736387542e-10,0.5990415061254047,0.0002738909216398418,9.198596998139864e-06,7.886448614282177e-07,5.659094415944725e-07
423,1439,599548.5,3515446.5,2022,0,3,0.2683496285257875,0.017499484616015835,2.484977993277448e-06,0.5406854387277105,1.7543614074699866e-08,0.1718048743930332,0.0015473348923357752,9.613402769192786e-05,3.4318914375821355e-08,1.4567976902978363e-05
426,1457,599602.5,3515437.5,2022,7,3,0.4587164668030585,0.032173602122261113,6.165254160210687e-06,0.48563576632579714,7.528926041861255e-08,0.0198466740869901,0.0035076042754175318,7.990299635407312e-05,3.1234786618180826e-10,3.374253435237299e-05
444,1480,599671.5,3515383.5,2022,7,3,0.24832291574815077,0.0836981544997658,2.4640101585655254e-05,0.6527313413355234,1.6131889964442263e-07,0.014578886465798194,0.00020008249377516333,0.00024672470305148,9.758228206314246e-09,0.00019708357522230726
436,1527,599812.5,3515407.5,2022,0,3,0.0013887061567026964,0.004952920287936918,3.663240027477912e-05,0.9030272453761272,0.00019473442702881195,0.07624392029428968,2.6904990302173016e-06,0.0023797091361116153,3.6941280476855356e-06,0.011769747294451158
440,1555,599896.5,3515395.5,2022,0,3,0.3315861435801696,0.0023982715633709757,1.9660703993376337e-06,0.36023070822471187,1.1353981447710132e-06,0.30373567133730944,0.0015861150810546946,1.5180121923458095e-05,9.936831279849393e-09,0.00044479868608512496
425,1570,599941.5,3515440.5,2022,0,3,0.1698513793242225,0.02314454363306448,4.3045801328088595e-06,0.7276948237456103,4.944896097821774e-07,0.07607555975951914,0.0028269420593142144,0.00028065286600057046,9.147619803291387e-08,0.0001212080663274958
442,1609,600058.5,3515389.5,2022,7,5,0.0025489918285145005,0.00019867793867384093,7.296108807595828e-06,0.2985335236777486,8.802418285346324e-08,0.6985390632162367,4.702965357155686e-06,1.3777821456810247e-05,9.532506998421578e-06,0.0001443459120236624
426,1621,600094.5,3515437.5,2022,0,3,0.0004239010318050847,0.0012512598271834305,1.2538330084007984e-05,0.7618375436302938,2.7962759701091886e-06,0.23428049463778103,1.811645829514723e-07,0.00022893407568110974,1.5725555960228568e-05,0.0019466254706582836
436,1661,600214.5,3515407.5,2022,0,3,0.0006618755757077008,0.004881979622664779,1.659855097016708e-05,0.8644268689892457,1.2551568249240002e-06,0.1280486775986903,5.042339880909414e-08,0.00042438310954022636,2.9204100305749618e-05,0.0015091068726511825
420,1694,600313.5,3515455.5,2022,0,3,0.019904226578204495,0.001199477040824391,6.667075231393833e-06,0.5403635095527883,2.5840950741118293e-05,0.43150466852727803,4.964028048507477e-05,5.6943265614269925e-05,6.101958787512357e-06,0.00688292477004455
424,1730,600421.5,3515443.5,2022,7,3,0.00158524105553001,0.00036294798444091395,2.6438155667253417e-05,0.5170042340062818,5.82568305347838e-11,0.4809228512990954,6.343836681214985e-05,1.0458664884528467e-05,2.4372389906104287e-05,1.8019125689456673e-08
440,1744,600463.5,3515395.5,2022,0,5,0.0043026981136315015,0.0001092476838025487,1.2699040605281671e-05,0.22013090629462168,0.00015956705021872628,0.7702694167643261,5.067242046526866e-05,6.925121034039346e-05,9.118146424584132e-06,0.004886423275564758
431,1787,600592.5,3515422.5,2022,7,5,0.06884490476018325,0.0049195662695455614,9.649311274171669e-06,0.18069536153776683,2.039072853017956e-06,0.7379782815148076,0.003270212628676275,1.6354087246398656e-05,1.6737666501333934e-06,0.0042619570509973715
438,1812,600667.5,3515401.5,2022,6,5,0.00013564439339561082,2.9221747965110736e-06,0.00016790429726254138,0.13713066190743198,0.0025531169479244818,0.8523856527385245,4.0182774667365946e-07,0.00040972406246808055,0.0013140429689738763,0.005899928681475193
428,1859,600808.5,3515431.5,2022,9,3,0.00017725754604865196,0.0005131395579984932,0.00012950016374819524,0.9040745331988095,0.06067417965055413,0.01803774176825703,1.2237092552100822e-05,0.01566919843811715,5.1146632905004584e-05,0.000661065951008992
